Name	Installation Count (June 2025)	Java 25 pull request	Is merged?
tap	1121		FALSE
postgresql-api	1119		FALSE
sonarqube-generic-coverage	1112		FALSE
analysis-collector	1111		FALSE
scmskip	1108		FALSE
gerrit-code-review	1103		FALSE
azure-vm-agents	1102		FALSE
all-changes	1101		FALSE
dockerhub-notification	1100		FALSE
update-sites-manager	1096		FALSE
synopsys-coverity	1085		FALSE
buildgraph-view	1083		FALSE
gitlab-kubernetes-credentials	1082		FALSE
TestComplete	1081		FALSE
copy-to-slave	1080		FALSE
gradle-repo	1080		FALSE
svn-workspace-cleaner	1079		FALSE
JiraTestResultReporter	1072		FALSE
external-workspace-manager	1071		FALSE
project-build-times	1063		FALSE
dependencyanalyzer	1062		FALSE
copy-project-link	1058		FALSE
changes-since-last-success	1056		FALSE
label-linked-jobs	1054		FALSE
aws-codepipeline	1053		FALSE
compress-artifacts	1051		FALSE
github-scm-trait-notification-context	1047		FALSE
build-keeper-plugin	1041		FALSE
aws-secrets-manager-secret-source	1035		FALSE
progress-bar-column-plugin	1030		FALSE
toolenv	1028		FALSE
shared-workspace	1015		FALSE
ftppublisher	1005		FALSE
packer	1005		FALSE
xvnc	1005		FALSE
doxygen	999		FALSE
github-scm-trait-commit-skip	993		FALSE
filesystem_scm	979		FALSE
jobgenerator	973		FALSE
configuration-as-code-secret-ssm	970		FALSE
selenium	967		FALSE
gravatar	963		FALSE
content-replace	962		FALSE
dynamicparameter	953		FALSE
multibranch-action-triggers	953		FALSE
logfilesizechecker	946		FALSE
scm-filter-branch-pr	945		FALSE
gitbucket	935		FALSE
maven-deployment-linker	934		FALSE
inline-pipeline	930		FALSE
jqs-monitoring	928		FALSE
jobcopy-builder	924		FALSE
gogs-webhook	922		FALSE
global-post-script	913		FALSE
dynamic-axis	906		FALSE
sauce-ondemand	906		FALSE
tfs	904		FALSE
change-assembly-version-plugin	901		FALSE
build-history-manager	898		FALSE
markdown-formatter	897		FALSE
anything-goes-formatter	896		FALSE
build-time-blame	894		FALSE
yet-another-docker-plugin	891		FALSE
qtest	889		FALSE
google-container-registry-auth	888		FALSE
cucumber-trends-report	886		FALSE
perfpublisher	885		FALSE
poll-mailbox-trigger-plugin	884		FALSE
google-kubernetes-engine	882		FALSE
zap	876		FALSE
flaky-test-handler	875		FALSE
skip-notifications-trait	874		FALSE
windows-exe-runner	874		FALSE
bitbucket-scm-trait-commit-skip	872		FALSE
test-stability	868		FALSE
aws-java-sdk2-sts	861		FALSE
hipchat	854		FALSE
custom-checkbox-parameter	846		FALSE
build-cause-run-condition	845		FALSE
editable-choice	843		FALSE
pagerduty	839		FALSE
stash-pullrequest-builder	831		FALSE
parallel-test-executor	830		FALSE
maven-snapshot-check	824		FALSE
awseb-deployment-plugin	820		FALSE
crowd2	819		FALSE
display-console-output	817		FALSE
changelog-history	815		FALSE
http-post	806		FALSE
openshift-sync	804		FALSE
dry	803		FALSE
build-flow-plugin	802		FALSE
bitbucket-filter-project-trait	795		FALSE
cloudfoundry	793		FALSE
audit-log	784		FALSE
copy-data-to-workspace-plugin	781		FALSE
simple-parameterized-builds-report	776		FALSE
ignore-committer-strategy	775		FALSE
emma	774		FALSE
xframe-filter-plugin	774		FALSE
anchore-container-scanner	767		FALSE
pipeline-global-lib-nexus	767		FALSE
compress-buildlog	763		FALSE
scalable-amazon-ecs	761		FALSE
rake	759		FALSE
telegram-notifications	751		FALSE
jdepend	750		FALSE
cucumber-perf	738		FALSE
cas-plugin	736		FALSE
github-issues	731		FALSE
openid4java	721		FALSE
rocketchatnotifier	721		FALSE
dingding-json-pusher	715		FALSE
block-queued-job	714		FALSE
export-params	713		FALSE
simple-build-for-pipeline	713		FALSE
disable-github-multibranch-status	708		FALSE
redmine	707		FALSE
testInProgress	707		FALSE
cloverphp	698		FALSE
promoted-builds-simple	695		FALSE
statusmonitor	695		FALSE
create-fingerprint	692		FALSE
nodenamecolumn	689		FALSE
openshift-login	688		FALSE
gitea-checks	686		FALSE
upload-pgyer	685		FALSE
matrix-groovy-execution-strategy	681		FALSE
nexus-task-runner	681		FALSE
rundeck	681		FALSE
winrm-client	681		FALSE
appcenter	673		FALSE
report-info	672		FALSE
elastic-axis	665		FALSE
android-signing	661		FALSE
tasks	659		FALSE
flyway-runner	658		FALSE
unleash	657		FALSE
bulk-builder	651		FALSE
pipeline-maven-database	650		FALSE
run-selector	650		FALSE
Exclusion	649		FALSE
bitbucket-approve	647		FALSE
xshell	647		FALSE
sitemonitor	639		FALSE
zapper	638		FALSE
heavy-job	635		FALSE
multi-slave-config-plugin	633		FALSE
terminate-ssh-processes-plugin	632		FALSE
scoverage	631		FALSE
radiatorviewplugin	629		FALSE
docker-traceability	628		FALSE
violation-comments-to-stash	622		FALSE
batch-task	621		FALSE
openstack-cloud	620		FALSE
jenkinswalldisplay	617		FALSE
shared-objects	617		FALSE
checkmarx-ast-scanner	616		FALSE
mina-sshd-api-sftp	615		FALSE
aliyun-oss-uploader	614		FALSE
doclinks	612		FALSE
docker-swarm	604		FALSE
groovy-remote	603		FALSE
svn-revert-plugin	599		FALSE
cucumber-slack-notifier	598		FALSE
ant-in-workspace	595		FALSE
custom-view-tabs	594		FALSE
teamconcert	593		FALSE
bootstraped-multi-test-results-report	586		FALSE
klocwork	586		FALSE
matrix-reloaded	586		FALSE
notify-events	585		FALSE
pipeline-dependency-walker	585		FALSE
gcloud-sdk	582		FALSE
katalon	579		FALSE
oidc-provider	575		FALSE
violation-comments-to-github	574		FALSE
systemloadaverage-monitor	573		FALSE
files-found-trigger	569		FALSE
mission-control-view	568		FALSE
pegdown-formatter	567		FALSE
build-symlink	566		FALSE
favorite-view	564		FALSE
random-string-parameter	564		FALSE
exclusive-execution	561		FALSE
enhanced-old-build-discarder	560		FALSE
flyway-api	560		FALSE
hudson-pview-plugin	559		FALSE
aqua-security-scanner	556		FALSE
python-wrapper	554		FALSE
build-view-column	553		FALSE
metrics-diskusage	551		FALSE
conjur-credentials	550		FALSE
select2-api	549		FALSE
commons-math3-api	546		FALSE
newrelic-deployment-notifier	546		FALSE
percentage-du-node-column	545		FALSE
file-leak-detector	544		FALSE
gcp-secrets-manager-credentials-provider	544		FALSE
antexec	539		FALSE
job-parameter-summary	534		FALSE
additional-metrics	533		FALSE
oracle-cloud-infrastructure-compute	532		FALSE
emotional-jenkins-plugin	531		FALSE
html5-notifier-plugin	530		FALSE
job-exporter	528		FALSE
environment-dashboard	527		FALSE
valgrind	527		FALSE
miniorange-two-factor	520		FALSE
AnchorChain	519		FALSE
pipeline-as-yaml	519		FALSE
fortify-on-demand-uploader	518		FALSE
collapsing-console-sections	514		FALSE
rabbitmq-consumer	510		FALSE
octopusdeploy	507		FALSE
aws-device-farm	506		FALSE
read-only-configurations	506		FALSE
gerrit-verify-status-reporter	501		FALSE
github-branch-pr-change-filter	501		FALSE
custom-job-icon	497		FALSE
tm4j-automation	494		FALSE
weblogic-deployer-plugin	493		FALSE
deployit-plugin	485		FALSE
image-gallery	484		FALSE
azure-app-service	483		FALSE
simple-queue	475		FALSE
zap-pipeline	474		FALSE
configure-job-column-plugin	473		FALSE
lucene-search	473		FALSE
openid	473		FALSE
aws-codecommit-jobs	472		FALSE
google-source-plugin	471		FALSE
config-autorefresh-plugin	467		FALSE
extra-tool-installers	467		FALSE
statistics-gatherer	463		FALSE
uptime	463		FALSE
publish-to-bitbucket	458		FALSE
project-inheritance	457		FALSE
gatling-check	455		FALSE
bitbucket-pullrequests-filter	452		FALSE
log-file-filter	452		FALSE
dropdown-viewstabbar-plugin	451		FALSE
slave-utilization-plugin	446		FALSE
